Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,Original_Index,Release_Season
Mortal Kombat X,XOne,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,1.38,279.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",1401,Spring
Rise of the Tomb Raider,XOne,2015.0,Adventure,Square Enix,0.55,0.7,1.38,1288.0,Crystal Dynamics,1403,Fall
Sonic Generations,X360,2011.0,Platform,Sega,0.71,0.53,1.38,340.0,"Sega, Sonic Team",1405,Fall
Deus Ex: Human Revolution,X360,2011.0,Shooter,Square Enix,0.76,0.47,1.37,684.0,Eidos Montreal,1409,Summer
Call of Duty: Black Ops,Wii,2010.0,Shooter,Activision,0.8,0.45,1.37,87.0,Treyarch,1412,Fall
Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix,0.5,0.59,1.37,682.0,Eidos Montreal,1413,Summer
Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004.0,Role-Playing,Activision,0.99,0.33,1.37,140.0,Obsidian Entertainment,1414,Winter
The Sims 2,PSP,2005.0,Simulation,Electronic Arts,0.49,0.55,1.37,32.0,Maxis,1416,Fall
Dragon Quest III: Soshite Densetsu e...,SNES,1996.0,Role-Playing,Enix Corporation,0.0,0.0,1.36,,,1425,Winter
Middle-Earth: Shadow of Mordor,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.73,0.5,1.35,585.0,Monolith Productions,1434,Fall
Battlefield 4,PC,2013.0,Shooter,Electronic Arts,0.39,0.87,1.35,3517.0,EA DICE,1437,Fall
Devil May Cry 4,X360,2008.0,Action,Capcom,0.79,0.34,1.34,248.0,Capcom,1447,Winter
Chrono Trigger,DS,2008.0,Role-Playing,Square Enix,0.61,0.16,1.34,440.0,TOSE,1451,Spring
Mortal Kombat 3,GEN,1994.0,Fighting,Acclaim Entertainment,1.03,0.27,1.34,,,1453,Spring
Need for Speed Carbon,PS2,2006.0,Racing,Electronic Arts,1.22,0.05,1.34,60.0,EA Canada,1459,Fall
Max Payne 2: The Fall of Max Payne,PS2,2003.0,Shooter,Take-Two Interactive,0.65,0.51,1.34,63.0,Rockstar Vienna,1463,Fall
Alan Wake,X360,2010.0,Action,Microsoft Game Studios,0.66,0.5,1.33,1156.0,Remedy Entertainment,1468,Spring
Tony Hawk's Pro Skater,GB,2000.0,Sports,Activision,0.9,0.38,1.33,,,1471,Fall
Metroid Prime 2: Echoes,GC,2004.0,Shooter,Nintendo,0.87,0.35,1.33,279.0,Retro Studios,1474,Fall
The Elder Scrolls V: Skyrim,PS4,2016.0,Role-Playing,Bethesda Softworks,0.48,0.59,1.33,,,1475,Fall
